PARAMETERS,SO2,CO,NO,NO2,NOX,NH3,O3,AQI,WS,WD,RH,SR,TC
01/01/2023,2.02,0.06,8.93,17.84,26,8.93,26.07,72,0.33,37.96,80.27,199.8,28.7
02/01/2023,1.63,0.12,8.89,17.74,26,8.89,25.97,81,0.47,33.84,82.5,189.1,28.11
03/01/2023,3.46,0.03,8.91,17.89,26,8.91,26.03,82,0.19,54.37,71,203.1,28.55
04/01/2023,2.79,0.11,8.88,17.77,26,8.88,25.95,79,0.54,40.44,78.11,205.2,28.25
05/01/2023,1.15,0.22,9.48,17.73,26,9.48,23.93,84,0.43,42.53,78.56,202.3,28.55
06/01/2023,3.13,0.08,10,17.76,26,10,22.08,98,0.42,30.35,76.42,207.7,29.01
07/01/2023,1.95,0.05,9.96,17.75,26,9.96,21.98,94,0.17,50.61,76.74,212,29.82
08/01/2023,1.48,0.01,9.95,17.75,26,9.95,21.95,82,0.34,46.24,76.3,209.3,29.67
09/01/2023,1.8,0.03,10.5,17.98,25,10.48,21.96,94,0.4,46.36,83.02,203.3,29.57
10/01/2023,0.07,0.05,11,18.25,25,11.01,22.02,105,0.43,32.01,78.36,209.6,28.8
11/01/2023,0.25,0.03,11,18.3,25,10.92,21.94,97,0.47,43.34,73.13,210.9,28.21
12/01/2023,1.38,0.01,11,18.25,26,10.96,21.92,98,0.79,27.68,76,199.6,27.31
13/01/2023,0,0.05,11,18.35,25,11,21.99,112,0.3,47.08,75.59,212.5,27.53
14/01/2023,5.53,0.02,11,18.22,26,10.99,21.99,107,0.57,33.41,75.43,211.6,28.12
15/01/2023,1.22,0.11,11,18.26,26,11.02,22.05,100,0.4,46.85,77.6,212.2,28.31
16/01/2023,4.72,0.05,11.1,18.29,26,11.05,22.09,100,0.41,42.2,78.88,211.1,28.89
17/01/2023,0.27,0.01,11,18.29,26,11.03,22.02,93,0.47,41.86,81.17,209.7,28.99
18/01/2023,3.83,0.01,11,18.33,25,10.96,21.91,85,0.44,46.65,79.88,218.2,29.32
19/01/2023,0.03,0.06,11,18.33,25,10.99,21.98,78,0.46,38.52,68.62,219.3,28.47
20/01/2023,1.3,0.05,11,18.28,26,10.95,21.9,83,0.36,30.28,58.67,218.9,28.41
21/01/2023,2.06,0.06,11,18.27,25,10.97,21.94,89,0.32,52.25,67.26,219.1,28.65
22/01/2023,5.69,0.07,11,18.21,25,10.95,21.9,86,0.51,43.55,76.63,204.2,29.03
23/01/2023,0.41,0.13,10.5,18.19,25,10.52,22.66,88,0.25,51.31,71.06,191.1,29.44
24/01/2023,2.02,0.11,9.68,18.28,26,9.68,23.57,72,0.27,344.88,86.81,160.2,28.28
25/01/2023,1.01,0,9.67,18.25,26,9.67,23.54,47,0.14,112.49,84.97,181.2,29.18
26/01/2023,0.43,0,9.7,18.3,26,9.7,23.58,44,0.4,39.58,83.39,236.3,29.22
27/01/2023,0.05,0.02,9.76,18.29,25,9.76,23.67,55,0.41,51.71,85.12,219.1,28.94
28/01/2023,0.4,0.02,9.65,18.25,26,9.65,23.52,74,0.14,65.97,78.33,248.2,29.17
29/01/2023,4.24,0.06,9.61,18.33,26,9.61,23.46,78,0.67,35.44,81.26,222.1,27.93
30/01/2023,2.07,0.04,9.75,18.26,26,10.19,23.68,75,0.1,284.37,79.63,257.9,28.53
31/01/2023,0.31,0.03,9.61,18.21,26,9.61,23.47,80,0.42,195.17,79.11,146.3,31.17
01/02/2023,0.41,0.01,9.7,18.32,25,9.7,23.59,83,0.19,78.63,86.13,227,27.31
02/02/2023,0.87,0.07,9.68,18.28,25,9.68,23.56,85,0.4,339.46,84.95,156.5,31.17
03/02/2023,2.26,0.07,9.74,18.24,25,9.74,23.64,63,0.05,349.77,88.08,145,28.78
04/02/2023,1.9,0,9.72,18.27,26,9.72,23.61,44,0.15,65.04,86.7,206.8,30.02
05/02/2023,1.76,0.08,9.69,18.28,25,9.69,23.57,47,0.22,173.03,85.11,238.8,29.22
06/02/2023,2.55,0.07,9.72,18.29,26,9.72,23.62,61,0.4,30.35,84.54,227.1,28.63
07/02/2023,1.11,0.05,9.68,18.34,26,9.69,23.56,81,0.04,238.34,78.6,240.5,29.49
08/02/2023,2.5,0.12,10.2,18.91,26,10.24,55.13,92,0.57,41.75,82.99,237.4,30.2
09/02/2023,1.56,0.04,10.8,19.01,26,10.82,24.92,99,0.36,52.55,80.29,238.1,28.84
10/02/2023,1.99,0.14,10.8,18.96,26,10.8,24.69,96,0.34,34.28,78.74,227.9,29.28
11/02/2023,0.11,0.02,10.8,19.04,26,10.82,24.79,87,0.16,97.68,77.31,237.9,29.19
12/02/2023,3.42,0,10.8,19.03,25,10.83,24.76,80,0.35,39.74,77.69,243.1,29.22
